"UC1";"MaaP";"UC1";"Utente sviluppatore";"L'utente sviluppatore può eseguire dei comandi per generare lo scheletro, inserire il file di descrizione, usare un editor specializzato per scrivere il file di descrizione, utilizzare il file di descrizione e modificare il file di configurazione";"Il sistema è installato e funzionante nel pc in uso";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente sviluppatore desidera eseguire";" "
"UC2.4.2.3";"Annullare filtro applicato";"UC2.4.2";"Utente business autenticato";"L'utente business autenticato ha la possibilità di rimuovere un filtro precedentemente applicato";"Il sistema ha applicato un filtro secondo i criteri imposti dall'utente business autenticato";"Il sistema aggiorna la visualizzazione della Collection allo stato precedente l'applicazione del filtro";" "
"UC2.4.3";"Navigazione tra le pagine della Collection-Index";"UC2.4";"Utente business autenticato";"L'utente business autenticato può navigare tra le pagine della Collection-Index attualmente visualizzata";"Il sistema reputa l'utente business come autenticato e visualizza la Collection scelta";"Il sistema visualizza un'altra Collection scelta dall'utente business autenticato";" "
"UC2.4.4";"Cancellazione Document";"UC2.4";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può cancellare un Document presente nella Collection attualmente visualizzata";"Il sistema reputa l'utente business autenticato come amministratore e visualizza la Collection scelta";"Il sistema ha cancellato il Document selezionato dall'utente business autenticato amministratore ed aggiorna la pagina attualmente visualizzata";" "
"UC2.4.5";"Modifica Document";"UC2.4.5";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può modificare un Document presente nella Collection attualmente visualizzata";"Il sistema reputa l'utente business autenticato come amministratore e visualizza la Collection scelta";"Il sistema modifica il Document selezionato secondo le specifiche imposte dall'utente business autenticato amministratore";" "
"UC2.4.5.1";"Modifica valore della chiave";"UC2.4.5";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può modificare il valore di ciascuna chiave del Document tramite form editabile";"Il sistema reputa l'utente business autenticato come amministratore e visualizza la pagina Document-Show che l'utente business autenticato come amministratore desidera modificare";"Il sistema ha ottenuto un valore per ogni chiave del Document che l'utente business autenticato come amministratore ha modificato";" "
"UC2.4.5.2";"Salvataggio Document";"UC2.4.5";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può salvare le modifiche fino a quel momento apportate al Document";"Il sistema ha ottenuto un valore per ogni chiave del Document che l'utente business autenticato come amministratore vuole modificare";"Il sistema salva le modifiche apportate al Document";" "
"UC2.4.5.3";"Annulla modifiche Document";"UC2.4.5";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore ha la possibilità di annullare le modifiche apportate al Document (vedi UC2.4.5)";"Il sistema ha ottenuto un valore per ogni chiave del Document che si sta modificando";"Il sistema non considera i valori inseriti per ogni chiave del Document e visualizza la pagina Collection-Index principale";" "
"UC2.4.6";"Visualizzazione query più utilizzate";"UC2.4";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può visualizzare le query più utilizzate che il sistema gli offre";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema mostra all'utente business autenticato amministratore le query più utilizzate";" "
"UC2.4.7";"Gestione indici";"UC2.4.7";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può gestire la creazione degli indici sulla base delle query più utilizzate e l'eliminazione degli indici già presenti nel sistema";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema ha creato un nuovo indice o eliminato un indice esistente come richiesto dall'utente business autenticato amministratore";" "
"UC2.4.7.1";"Creazione indici";"UC2.4.7.1";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può selezionare una query tra quelle che il sistema presenta come più utilizzate e può creare l'indice corrispondente.";"Il sistema reputa l'utente business autenticato come amministratore e visualizza una lista di query più utilizzate";"Il sistema ha creato un nuovo indice relativo alla query selezionata dall'utente business autenticato amministratore";" "
"UC2.4.7.1.1";"Seleziona query";"UC2.4.7.1";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può selezionare una query tra quelle che il sistema presenta come più utilizzate.";"Il sistema reputa l'utente business autenticato come amministratore e visualizza una lista di query più utilizzate";"Il sistema ha ottentuo l'informazione riguardo alla query selezionata dall'utente business autenticato amministratore";" "
"UC2.4.7.1.2";"Crea indice";"UC2.4.7.1";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può creare un indice relativo alla query precedentemente selezionata.";"Il sistema reputa l'utente business autenticato come amministratore e l'utente business autenticato amministratore ha precedentemente selezionato una query";"Il sistema ha creato un indice relativo alla query selezionata dall'utente business autenticato amministratore";" "
"UC2.4.7.2";"Eliminazione indici";"UC2.4.7.2";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può selezionare un indice tra quelli presenti nel sistema e può eliminarlo.";"Il sistema reputa l'utente business autenticato come amministratore e visualizza una lista degli indici presenti nel sistema.";"Il sistema ha eliminato l'indice selezionato dall'utente business autenticato amministratore";" "
"UC2.4.7.2.1";"Seleziona indice";"UC2.4.7.2";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può selezionare un indice tra quelli presenti nel sistema";"Il sistema reputa l'utente business autenticato come amministratore e visualizza una lista degli indici presenti nel sistema.";"Il sistema ha ottenuto le informazioni riguardo all'indice selezionato dall'utente business autenticato amministratore";" "
"UC2.4.7.2.2";"Elimina indice";"UC2.4.7.2";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può eliminare l'indice precedentemente selezionato";"Il sistema reputa l'utente business autenticato come amministratore e l'utente business autenticato amministratore ha selezionato un indice tra quelli presenti nel sistema.";"Il sistema ha eliminato l'indice selezionato dall'utente business autenticato amministratore";" "
"UC2.4.7.3";"Visualizzazione indici";"UC2.4.7";"Utente business autenticato amministratore";"L'utente business autenticato amministratore può visualizzare gli indici presenti nel sistema.";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema visualizza gli indici attualmente presenti nel sistema";" "
"UC2.5";"Disconnessione";"UC2";"Utente business autenticato";"L'utente può uscire dal proprio profilo e disconnettersi dal sistema";"Il sistema reputa l'utente business come autenticato";"Il sistema reputa l'utente business come non autenticato";" "
"UC2.6";"Gestione utente";"UC2.6";"Utente business autenticato";"L'utente business autenticato può modificare i dati utente, mentre l'utente business autenticato amministratore può anche eseguire operazioni di creazione e cancellazione di un utente";"Il sistema reputa l'utente business come autenticato";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente business desidera eseguire";" "
"UC2.6.1";"Creazione nuovo utente";"UC2.6";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può creare un nuovo utente";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema ha creato un nuovo utente";" "
"UC2.6.2";"Eliminazione utente";"UC2.6";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può eliminare un profilo utente preesistente";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema ha eliminato il profilo utente specificato";" "
"UC2.6.3";"Gestione dati";"UC2.6.3";"Utente business autenticato";"L'utente business autenticato può modificare i dati utente del proprio profilo e salvare le modifiche o annullarle. L'utente business autenticato come amministratore può modificare i dati dei vari profili utenti, modificare i permessi degli utenti, salvare le modifiche o annullarle";"Il sistema reputa l'utente business come autenticato";"Il sistema modifica i dati utente secondo le specifiche imposte dall'utente business autenticato";" "
"UC2.6.3.1";"Modifica dati utente";"UC2.6.3";"Utente business autenticato";"L'utente business autenticato può modificare i dati utente del proprio profilo, ovvero email e password";"Il sistema reputa l'utente business come autenticato";"Il sistema ha ottenuto tutti i dati modificati del profilo utente";" "
"UC2.6.3.2";"Salvataggio modifiche";"UC2.6.3";"Utente business autenticato";"L'utente business autenticato può salvare le modifiche apportate durante la modifica dei dati utente";"Il sistema ha ottenuto i dati modificati del profilo utente";"Il sistema aggiorna il profilo utente con i nuovi dati inseriti";" "
"UC2.6.3.3";"Modifica dati utenti";"UC2.6.3";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può modificare i dati degli utenti, ovvero email e password";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema ha ottenuto tutti i dati modificati del profilo utente";" "
"UC2.6.3.4";"Modifica permessi utenti";"UC2.6.3";"Utente business autenticato amministratore";"L'utente business autenticato come amministratore può modificare i permessi degli utenti, ovvero elevare un utente a livello amministratore o declassare un utente amministratore ad utente business autenticato";"Il sistema reputa l'utente business autenticato come amministratore";"Il sistema ha ottenuto i nuovi permessi da applicare al profilo utente";" "
"UC2.6.3.5";"Annulla modifiche";"UC2.6.3";"Utente business autenticato, Utente business autenticato amministratore";"L'utente business autenticato e l'amministratore possono annullare le modifiche apportate";"Il sistema ha ottenuto i dati modificati del profilo utente  se si tratta di amministratore il sistema ottiene i dati modificati dei profili e/o dei dati relativi ai permessi dell'utente";"Il sistema non considera le modifiche apportate";" "
"UC2.6.3.5";"Annulla modifiche";"UC2.6.3";"Utente business autenticato, Utente business autenticato amministratore";"L'utente business autenticato e l'amministratore possono annullare le modifiche apportate";"Il sistema ha ottenuto i dati modificati del profilo utente  se si tratta di amministratore il sistema ottiene i dati modificati dei profili e/o dei dati relativi ai permessi dell'utente";"Il sistema non considera le modifiche apportate";" "
"UC3";"MaaS";"UC3";"Utente, Utente autenticato";"L'utente e l'utente autenticato possono visualizzare le pagine web accedendo attraverso uno specifico URL, l'utente può registrarsi, richiedere il recupero password, effettuare l'autenticazione. Se ritenuto autenticato dal sistema può inoltre creare lo scheletro di un nuovo progetto, gestire le pagine web, gestire il proprio profilo e disconnettersi";"Il sistema MaaS è correttamente installato, funzionante e le pagine web sono disponibili online e raggiungibili dall'utente e dall'utente autenticato tramite browser. All'utente viene proposta la pagina di login al sistema mentre all'utente autenticato viene proposta la pagina del proprio account utente";"Il sistema ha ottenuto le informazioni relative alle azioni che l'utente e l'utente autenticato vogliono eseguire";" "
"UC3.1";"Creazione scheletro del progetto";"UC3.1";"Utente autenticato";"L'utente autenticato può creare lo scheletro di un nuovo progetto";"Il sistema reputa l'utente come autenticato";"Il sistema ha completato la creazione dello scheletro del progetto utilizzando il nome specificato dall'utente autenticato. E' disponibile un URL specifico per accedere alla pagina principale del progetto appena creato";" "
"UC3.1.1";"Inserimento nome progetto";"UC3.1";"Utente autenticato";"L'utente può inserire il nome del progetto che intende creare";"Il sistema ha iniziato la creazione dello scheletro del progetto";"Il sistema ha acquisito il nome del progetto che l'utente autenticato desidera creare";" "
"UC3.2";"Gestione pagine web";"UC3.2";"Utente autenticato";"L'utente autenticato può gestire le pagine web presenti nel sistema";"Il sistema reputa l'utente come autenticato e precedentemente è stato creato con successo lo scheletro di un progetto";"Il sistema ha ottenuto le informazioni relative alle azioni che l'utente autenticato vuole eseguire";" "
"UC3.2.1";"Creazione file di descrizione";"UC3.2.1";"Utente autenticato";"L'utente autenticato può creare un file di descrizione utilizzando un apposito editor online e successivamente salvarlo nel sistema";"Il sistema ha generato lo scheletro del progetto";"Il sistema ha ottenuto il contenuto relativo al file di descrizione che l'utente autenticato ha scritto ed ha salvato il file di descrizione in modo permanente";" "
"UC3.2.1.1";"Scrittura file di descrizione";"UC3.2.1";"Utente autenticato";"L'utente autenticato può scrivere il contenuto del file di descrizione che desidera creare in un apposito form";"Il sistema propone all'utente autenticato un apposita casella di testo per scrivere il contenuto del file di descrizione da creare ed è in attesa dell'inserimento";"Il sistema possiede il contenuto del testo inserito dall'utente";" "
"UC3.2.1.2";"Salvataggio file di descrizione";"UC3.2.1";"Utente autenticato";"L'utente autenticato può salvare in modo permanente il contenuto del file di descrizione scritto precedentemente";"Il sistema possiede il contenuto del testo inserito dall'utente";"Il sistema ha ottenuto il contenuto relativo al file di descrizione che l'utente autenticato ha scritto ed ha salvato il file di descrizione in modo permanente";" "
"UC3.2.2";"Upload del file di descrizione";"UC3.2.2";"Utente autenticato";"L'utente autenticato può eseguire l'upload di un file di descrizione precedentemente creato con il sistema MaaP";"Il sistema ha generato lo scheletro del progetto";"Il sistema ha ottenuto le informazioni relative al file di descrizione che l'utente autenticato desidera caricare, ha eseguito l'upload ed ha salvato il file in modo permanente";" "
"UC3.2.2.1";"Selezione di un file di descrizione";"UC3.2.2";"Utente autenticato";"L'utente autenticato può selezionare il file che desidera caricare nel sistema";"Il sistema mostra i file presenti nella cartella selezionata dall'utente autenticato";"Il sistema evidenzia il file indicato dall'utente autenticato";" "
"UC3.2.2.2";"Conferma upload del file selezionato";"UC3.2.2";"Utente autenticato";"L'utente autenticato può confermare il caricamento del file selezionato";"Il sistema ha un file selezionato pronto per essere caricato";"Il sistema ha letto il file selezionato dall'utente autenticato, ha eseguito l'upload e lo ha salvato in modo permanente";" "
"UC3.2.3";"Modifica di un file di descrizione";"UC3.2.3";"Utente autenticato";"L'utente autenticato può modificare un file di descrizione presente nel sistema utilizzando l'editor fornito da MaaS";"Il sistema ha creato lo scheletro del progetto e l'utente autenticato ha selezionato il file di descrizione che desidera modificare";"Il sistema ha ottenuto le informazioni relative alle azioni che l'utente autenticato desidera eseguire. Nello specifico se l'utente autenticato ha scelto di salvare le modifiche apportate, il sistema ha ottenuto le informazioni relative al contenuto del file di descrizione modificato ed ha salvato tali informazioni in modo permanente sovrascrivendo il file di descrizione originario";" "
"UC3.2.3.1";"Modifica del codice del file di descrizione selezionato";"UC3.2.3";"Utente autenticato";"L'utente autenticato può modificare il codice del file di descrizione selezionato";"Il sistema propone all'utente autenticato un'apposita casella di testo con all'interno il codice contenuto nel file di descrizione che desidera modificare ed è in attesa dell'inserimento";"Il sistema possiede il contenuto del testo inserito dall'utente";" "
"UC3.2.3.2";"Salvataggio delle modifiche al file di descrizione";"UC3.2.3";"Utente autenticato";"L'utente autenticato può salvare in modo permanente le modifiche apportate al file di descrizione";"Il sistema possiede il contenuto del testo inserito dall'utente";"Il sistema ha ottenuto le informazioni relative al contenuto del file di descrizione modificato ed ha salvato la nuova versione del file sovrascrivendo il file originario";" "
"UC3.2.3.3";"Annullamento delle modifiche";"UC3.2.3";"Utente autenticato";"L'utente autenticato può annullare le modifiche apportate al contenuto del file di descrizione";"Il sistema ha ottenuto le informazioni sul contenuto del testo inserito dall'utente";"Il sistema ignora le modifiche apportate dall'utente autenticato e non sovrascrive il file originario";" "
"UC3.2.4";"Modifica di un file di configurazione";"UC3.2.4";"Utente autenticato";"L'utente autenticato può modificare il file di configurazione presente nel sistema utilizzando l'editor fornito da MaaS";"Il sistema ha creato lo scheletro del progetto";"Il sistema ha ottenuto le informazioni relative alle azioni che l'utente autenticato desidera eseguire. Nello specifico se l'utente autenticato ha scelto di salvare le modifiche apportate, il sistema ha ottenuto le informazioni relative al contenuto del file di configurazione modificato ed ha salvato tali informazioni in modo permanente sovrascrivendo il file di configurazione originario";" "
"UC3.2.4.1";"Modifica del codice del file di configurazione";"UC3.2.4";"Utente autenticato";"L'utente autenticato può modificare il codice del file di configurazione";"Il sistema propone all'utente autenticato un'apposita casella di testo con all'interno il codice contenuto nel file di configurazione da modificare ed è in attesa dell'inserimento";"Il sistema ha ottenuto le informazioni sul contenuto del testo modificato dall'utente";" "
"UC3.2.4.2";"Salvataggio delle modifiche al file di configurazione";"UC3.2.4";"Utente autenticato";"L'utente autenticato può salvare in modo permanente le modifiche apportate al file di configurazione";"Il sistema ha ottenuto le informazioni sul contenuto del testo modificato dall'utente";"Il sistema ha ottenuto le informazioni relative al contenuto del file di configurazione modificato ed ha salvato la nuova versione del file sovrascrivendo il file originario";" "
"UC3.2.4.3";"Annullamento delle modifiche";"UC3.2.4";"Utente autenticato";"L'utente autenticato può annullare le modifiche apportate al contenuto del file di configurazione";"Il sistema ha ottenuto le informazioni sul contenuto del testo modificato dall'utente";"Il sistema ignora le modifiche apportate dall'utente autenticato";" "
"UC3.2.5";"Visualizza tutti i file di descrizione";"UC3.2";"Utente autenticato";"L'utente autenticato può visualizzare tutti i file di descrizione presenti nel sistema";"Il sistema ha generato lo scheletro del progetto";"Il sistema propone all'utente autenticato una lista di tutti i file di descrizione presenti relativi ai diversi progetti dell'utente stesso";" "
"UC3.3";"Gestione profilo";"UC3.3";"Utente autenticato";"L'utente autenticato può gestire il proprio profilo";"Il sistema reputa l'utente come autenticato";"Il sistema ha ottenuto le informazioni relative alle azioni che l'utente autenticato desidera effettuare";" "
"UC3.3.1";"Genera nuova password";"UC3.3";"Utente autenticato";"L'utente autenticato può generare una nuova password per accedere al sistema";"Il sistema reputa l'utente come autenticato";"Il sistema ha generato una nuova password per l'utente autenticato ed ha inviato una email di notifica all'utente stesso";" "
"UC3.4";"Disconnessione";"UC3";"Utente autenticato";"L'utente può disconnettersi dal sistema";"Il sistema reputa l'utente come autenticato";"Il sistema reputa l'utente non autenticato e propone la pagina principale di login";" "
"UC3.5";"Visualizzazione pagine web";"UC3";"Utente, Utente autenticato";"L'utente e l'utente autenticato possono visualizzare le pagine web di un determinato progetto mediante un URL specifico";"Il sistema ha creato lo scheletro del progetto";"Il sistema visualizza la pagina principale del progetto";" "
"UC3.6";"Autenticazione";"UC3.6";"Utente";"L'utente può effettuare l'autenticazione al sistema";"Il sistema reputa l'utente come non autenticato";"Il sistema ha ottenuto le informazioni relative all'operazione di autenticazione inserite dall'utente. Viene proposta la pagina relativa all'account utente";" "
"UC3.6.1";"Inserimento nome utente";"UC3.6";"Utente";"L'utente può inserire il nome utente";"Il sistema permette di inserire il nome utente all'interno di un'apposita casella di testo ed è in attesa dell'inserimento";"Il sistema possiede il nome utente inserito";" "
"UC3.6.2";"Inserimento password";"UC3.6";"Utente";"L'utente può inserire la password";"Il sistema permette di inserire la password all'interno di un'apposita casella di testo ed è in attesa dell'inserimento";"Il sistema possiede la password inserita";" "
"UC3.7";"Registrazione";"UC3.7";"Utente";"L'utente può registrarsi al sistema";"Il sistema reputa l'utente come non autenticato";"Il sistema ha acquisito i dati dell'utente, li ha salvati in modo permanente e propone all'utente la pagina relativa al suo account";" "
"UC3.7.1";"Inserimento nome utente";"UC3.7";"Utente";"L'utente può inserire il nome utente per la registrazione dell'account";"Il sistema permette di inserire il nome utente all'interno di un'apposita casella di testo ed è in attesa dell'inserimento";"Il sistema ha ottenuto il nome utente inserito dall'utente";" "
"UC3.7.2";"Inserimento password";"UC3.7";"Utente";"L'utente può inserire la password per la registrazione dell'account";"Il sistema permette di inserire la password all'interno di un'apposita casella di testo ed è in attesa dell'inserimento";"Il sistema ha ottenuto la password inserita dall'utente";" "
"UC3.7.3";"Inserimento email";"UC3.7";"Utente";"L'utente può inserire l'email per la registrazione dell'account";"Il sistema permette di inserire la mail all'interno di un'apposita casella di testo ed è in attesa dell'inserimento";"Il sistema ha ottenuto la mail inserita dall'utente";" "
"UC3.8";"Recupero password";"UC3.8";"Utente";"L'utente può recuperare la password dimenticata";"Il sistema reputa l'utente come non autenticato";"Il sistema ha ottenuto il nome dell'utente che richiede il recupero password ed ha inviato la relativa password all'email associata all'account";" "
